Unsorted	Matched_Master	Phase	Category	Score
2025 ENSHO THERAPEUTICS NSHO-101-HV202: A Phase 1 Study to Evaluate the Phannacokinetics, Safety, and Tolerability of NSHO-101 in Healthy Participants	2025 ENSHO THERAPEUTICS: A Phase 1 Study to Evaluate the Phannacokinetics, Safety, and Tolerability of XXX in Healthy Participants	Phase I	Healthy Adults	0.911
2025 BMS CN0120012: A Phase 1, 4-part, Open-label Study to Evaluate the Effects of CYP2D6 Phenotypes on the Pharmacokinetics of Xanomeline Following KarXT Administration in Healthy Adults Participants	2025 BMS: A Phase 1, 4-part, Open-label Study to Evaluate the Effects of XXX Phenotypes on the Pharmacokinetics of Xanomeline Following XXX Administration in Healthy Adults Participants	Phase I	Healthy Adults	0.919
2025 ABBVIE M24-931: A Phase 1 Multiple Ascending Dose, Drug-Drug Interaction, and Asian Pharmacokinetic Study of XXXX	2025 ABBVIE: A Phase 1 Multiple Ascending Dose, Drug-Drug Interaction, and Asian Pharmacokinetic Study of XXXX	Phase I	Healthy Adults	0.955
2025 ABBVIE M24-920: A Phase 1 Pharmacokinetic Study in Healthy Subjects to Evaluate the Relative Bioavailability of Risankizumab Following Subcutaneous Administration with On-Body Injector	2025 ABBVIE: A Phase 1 Pharmacokinetic Study in Healthy Subjects to Evaluate the Relative Bioavailability of XXX Following Subcutaneous Administration with On-Body Injector	Phase I	Healthy Adults	0.933
2025 ABBVIE M25-491: A Phase 1, Randomized, Double-Blind, Placebo-Controlled Study to Evaluate the Safety, Tolerability, Pharmacokinetics, and Immunogenicity of Single Ascending Subcutaneous Doses of ABBV‑701 in Healthy Adult Western and Asian Subjects	2025 ABBVIE: A Phase 1, Randomized, Double-Blind, Placebo-Controlled Study to Evaluate the Safety, Tolerability, Pharmacokinetics, and Immunogenicity of Single Ascending Subcutaneous Doses of XXX in Healthy Adult Western and Asian Subjects	Phase I	Healthy Adults	1.000
2025 GENFIT G1090N_P1_25_1: A Phase 1, Open-Label Study to Assess Pharmacokinetics, Safety, and Tolerability of G1090N in Healthy Subjects	2025 GENFIT: A Phase 1, Open-Label Study to Assess Pharmacokinetics, Safety, and Tolerability of XXX in Healthy Subjects	Phase I	Healthy Adults	0.909
2025 ABBVIE M25-491: A Phase 1, Randomized, Double-Blind, Placebo-Controlled Study to Evaluate the Safety, Tolerability, Pharmacokinetics, and Immunogenicity of Single Ascending Subcutaneous Doses of ABBV-701 in Healthy Adult Western and Asian Subjects	2025 ABBVIE: A Phase 1, Randomized, Double-Blind, Placebo-Controlled Study to Evaluate the Safety, Tolerability, Pharmacokinetics, and Immunogenicity of Single Ascending Subcutaneous Doses of XXX in Healthy Adult Western and Asian Subjects	Phase I	Healthy Adults	0.979
2025 BMS CN0080026: A Phase 1, Randomized, Open-label, Parallel, Single-dose Study to Assess the Pharmacokinetics, Tolerability, and Absolute Bioavailability of Subcutaneous Administration of XXXX, an Anti-MTBR Tau Monoclonal Antibody, in Healthy Participants	2025 BMS: A Phase 1, Randomized, Open-label, Parallel, Single-dose Study to Assess the Pharmacokinetics, Tolerability, and Absolute Bioavailability of Subcutaneous Administration of XXXX, an Anti-MTBR Tau Monoclonal Antibody, in Healthy Participants	Phase I	Healthy Adults	0.975
2025 CELLARITY CLY124-HVS-101: A Phase 1, Randomized, Placebo-Controlled, Double Blind, Single and Multiple Ascending Dose Study to Assess the Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of XXXX in Healthy Volunteers and Participants with Sickle Cell Disease	2025 CELLARITY: A Phase 1, Randomized, Placebo-Controlled, Double Blind, Single and Multiple Ascending Dose Study to Assess the Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of XXXX in Healthy Volunteers and Participants with Sickle Cell Disease	Phase I	Healthy Adults	1.000
2025 ELI LILLY J6H-MC-KXAA: A Single-Ascending Dose Study to Evaluate the Safety and Pharmacokinetics of XXXX in Healthy Participants.	2025 ELI LILLY: A Single-Ascending Dose Study to Evaluate the Safety and Pharmacokinetics of XXXX in Healthy Participants.	Phase I	Healthy Adults	0.952
2025 ELI LILLY AND COMPANY J4O-MC-EZHA: A single-ascending and multiple-ascending dose study of XXXX in healthy participants, participants with obesity and hypertension, and participants with decreased estimated glomerular filtration rate.	2025 ELI LILLY AND COMPANY: A single-ascending and multiple-ascending dose study of XXXX in healthy participants, participants with obesity and hypertension, and participants with decreased estimated glomerular filtration rate.	Phase I	Healthy Adults	0.970
2025 ELI LILLY AND COMPANY J6E-MC-KWAC: A Phase 1 Study to Further Investigate the Pharmacokinetics, Safety and Tolerability, Food Effect and Drug-Drug Interaction of XXXX (XXX) in Healthy Participants	2025 ELI LILLY AND COMPANY: A Phase 1 Study to Further Investigate the Pharmacokinetics, Safety and Tolerability, Food Effect and Drug-Drug Interaction of XXXX (XXX) in Healthy Participants	Phase I	Healthy Adults	0.967
2025 GILEAD GS-US-683-6908: A Phase 1 Study to Evaluate the Safety, Tolerability, and Pharmacokinetics of XXXX in Healthy Volunteers and to Evaluate the Effect of Food and Acid-Reducing Agents on XXXX Pharmacokinetics	2025 GILEAD: A Phase 1 Study to Evaluate the Safety, Tolerability, and Pharmacokinetics of XXXX in Healthy Volunteers and to Evaluate the Effect of Food and Acid-Reducing Agents on XXXX Pharmacokinetics	Phase I	Healthy Adults	0.964
2025 GILEAD GS-US-671-6974: A Phase 1 Study in Healthy Participants to Evaluate the Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of XXXX, and the Effect of Food and Acid-Reducing Agents on the Pharmacokinetics and Pharmacodynamics of XXXX	2025 GILEAD: A Phase 1 Study in Healthy Participants to Evaluate the Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of XXXX, and the Effect of Food and Acid-Reducing Agents on the Pharmacokinetics and Pharmacodynamics of XXXX	Phase I	Healthy Adults	1.000
2025 VISTERRA VIS954-102: A phase 1, randomized, placebo-controlled, double blind, multiple ascending dose trial to assess the safety, tolerability, pharmacokinetics, and pharmacodynamics of XXXX in healthy participants.	2025 VISTERRA: A phase 1, randomized, placebo-controlled, double blind, multiple ascending dose trial to assess the safety, tolerability, pharmacokinetics, and pharmacodynamics of XXXX in healthy participants.	Phase I	Healthy Adults	0.970
2025 MERCK MK-7962: A Phase 1 Clinical Study in Healthy Females of Nonchildbearing Potential to Compare the Pharmacokinetics of XXXX (XXXX) Administered as a Liquid Formulation in an Autoinjector Versus the Lyophilized Formulation Cardiovascular	2025 MERCK: A Phase 1 Clinical Study in Healthy Females of Nonchildbearing Potential to Compare the Pharmacokinetics of XXXX (XXXX) Administered as a Liquid Formulation in an Autoinjector Versus the Lyophilized Formulation Cardiovascular	Phase I	Healthy Adults	1.000
2025 GENENTECH GP44770: A Phase 1, Randomized, Two-Part, Parallel-Group Study to Assess the Bioequivalence of Subcutaneously Administered Trastuzumab Via Different Subcutaneous Delivery Platforms in Healthy Male Subjects	2025 GENENTECH: A Phase 1, Randomized, Two-Part, Parallel-Group Study to Assess the Bioequivalence of Subcutaneously Administered XXX Via Different Subcutaneous Delivery Platforms in Healthy Male Subjects	Phase I	Healthy Adults	0.942
2025 VIATRIS INNOVATION GmbH ID-076-110: Single-center, double-blind trial to assess the pharmacokinetics, the pharmacodynamics, and the tolerability of a single 16 mg dose of selatogrel (ACT-246475) in healthy Japanese and Caucasian participants	2025 VIATRIS INNOVATION GmbH: Single-center, double-blind trial to assess the pharmacokinetics, the pharmacodynamics, and the tolerability of a single 16 mg dose of XXX (XXX) in healthy Japanese and Caucasian participants	Phase I	Healthy Adults	0.918
2024 ABBVIE M24-342: A Phase 1 Pharmacokinetic Study in Healthy Subjects to Evaluate the Relative Bioavailability of Two Formulations of Risankizumab Following Subcutaneous Administration with Prefilled Syringes	2024 ABBVIE: A Phase 1 Pharmacokinetic Study in Healthy Subjects to Evaluate the Relative Bioavailability of Two Formulations of XXX Following Subcutaneous Administration with Prefilled Syringes	Phase I	Healthy Adults	0.940
2024 ABBVIE M25-527: A Study to Evaluate Pharmacokinetics, Safety, and Tolerability of Emraclidine in Healthy Adult Western, Japanese, and Han Chinese Subjects	2024 ABBVIE: A Study to Evaluate Pharmacokinetics, Safety, and Tolerability of XXX in Healthy Adult Western, Japanese, and Han Chinese Subjects	Phase I	Healthy Adults	0.922
2024 ABBVIE M25-528: An Open-label Study to Evaluate the Pharmacokinetics, Safety, and Tolerability of Icalcaprant in Healthy Adult Japanese and Han Chinese Subjects	2024 ABBVIE: An Open-label Study to Evaluate the Pharmacokinetics, Safety, and Tolerability of XXX in Healthy Adult Japanese and Han Chinese Subjects	Phase I	Healthy Adults	0.926
2024 ALLIANTHERA ATB102: A Phase I, Randomized, Placebo-Controlled, Sequential Single and Multiple Dose-Escalation Study to Evaluate the Safety, Tolerability, and Pharmacokinetics of Oral YUQ-A1007 in Healthy Volunteers	2024 ALLIANTHERA: A Phase I, Randomized, Placebo-Controlled, Sequential Single and Multiple Dose-Escalation Study to Evaluate the Safety, Tolerability, and Pharmacokinetics of Oral XXX in Healthy Volunteers	Phase I	Healthy Adults	0.948
2024 BMS CN0120030: Randomized, Double-blind, Placebo-controlled Study to Assess the Safety, Tolerability and Pharmacokinetics of Multiple Doses of Dual-burst Release of Xanomeline with Immediate-Release Trospium Chloride versus KarXT in Healthy Adult and Elderly Participants of Japanese Ethnicity (Part 1) and an Open-label Study to Assess the Effect of Omeprazole on the Pharmacokinetics of Dual-burst Release of Xanomeline with Immediate-Release Trospium Chloride in Healthy Adult Participants (Part 2)	2024 BMS: Randomized, Double-blind, Placebo-controlled Study to Assess the Safety, Tolerability and Pharmacokinetics of Multiple Doses of Dual-burst Release of XXX with Immediate-Release XXX Chloride versus XXX in Healthy Adult and Elderly Participants of Japanese Ethnicity (Part 1) and an Open-label Study to Assess the Effect of Omeprazole on the Pharmacokinetics of Dual-burst Release of XXX with Immediate-Release XXX Chloride in Healthy Adult Participants (Part 2)	Phase I	Healthy Adults	1.000
2024 BMS IM027-1035: An Open-label, Randomized, 2-Part, 4-Period, 2-Sequence, Fully Replicated Crossover Study to Assess the Comparative Bioavailability of BMS-986278 To-be-marketed Formulation Compared to the Phase 3 Clinical Trial Formulation in Healthy Participants	2024 BMS: An Open-label, Randomized, 2-Part, 4-Period, 2-Sequence, Fully Replicated Crossover Study to Assess the Comparative Bioavailability of XXX To-be-marketed Formulation Compared to the Phase 3 Clinical Trial Formulation in Healthy Participants	Phase I	Healthy Adults	1.000
2024 ECCOGENE EC0007: A Phase 1, Open Label, Fixed Sequence Study to Evaluate the Effect of XXXX on the Single Dose Pharmacokinetics of Atorvastatin, Rosuvastatin, Digoxin and Midazolam in Healthy Participants	2024 ECCOGENE: A Phase 1, Open Label, Fixed Sequence Study to Evaluate the Effect of XXXX on the Single Dose Pharmacokinetics of XXX, XXX, XXX and XXX in Healthy Participants	Phase I	Healthy Adults	0.839
2024 ELI LILLY AND COMPANY I6T-MC-AMCB: A Bioequivalence Study of Subcutaneous Injections of Citrate-Free XXXX solution Using a 1mL Autoinjector and an Investigational 2mL Autoinjector in Healthy Participants	2024 ELI LILLY AND COMPANY: A Bioequivalence Study of Subcutaneous Injections of Citrate-Free XXXX solution Using a 1mL Autoinjector and an Investigational 2mL Autoinjector in Healthy Participants	Phase I	Healthy Adults	0.968
2024 GILEAD GS-US-200-5585: A Phase 1, Single-Dose Study to Evaluate the Pharmacokinetics (PK), Safety, and Tolerability of Oral Lenacapavir (LEN) in Healthy Japanese Participants	2024 GILEAD: A Phase 1, Single-Dose Study to Evaluate the Pharmacokinetics (PK), Safety, and Tolerability of Oral XXX in Healthy Japanese Participants	Phase I	Healthy Adults	0.895
2024 GILEAD GS-US-200-6718: A Phase 1a Study to Evaluate the Safety, Tolerability, and Pharmacokinetics (PK) of Different Formulations of Subcutaneous and/or Intramuscular XXXX in Healthy Participants	2024 GILEAD: A Phase 1a Study to Evaluate the Safety, Tolerability, and Pharmacokinetics (PK) of Different Formulations of Subcutaneous and/or Intramuscular XXXX in Healthy Participants	Phase I	Healthy Adults	0.963
2024 PFIZER C3421086: A Two-Part Phase 1, Open- Label, Fixed-Sequence Study to Evaluate the Multiple Dose Pharmacokinetics of Danuglipron Following Oral Administration and the Effects of Steady-State Danuglipron on the Pharmacokinetics of Single Oral Dose of Atorvastatin and Rosuvastatin in Otherwise Healthy Adult Participants with Overweight or Obesity	2024 PFIZER: A Two-Part Phase 1, Open- Label, Fixed-Sequence Study to Evaluate the Multiple Dose Pharmacokinetics of XXX Following Oral Administration and the Effects of Steady-State XXX on the Pharmacokinetics of Single Oral Dose of XXX and XXX in Otherwise Healthy Adult Participants with Overweight or Obesity	Phase I	Healthy Adults	1.000
2024 UCB UPO142: A Single-Center, Randomized, Investigator- And Participant-Blind, Placebo-Controlled, Phase 1 Study to Evaluate Safety, Tolerability, And Pharmacokinetics After a Single Dose of Donzakimig in Healthy Chinese and Japanese Participants	2024 UCB: A Single-Center, Randomized, Investigator- And Participant-Blind, Placebo-Controlled, Phase 1 Study to Evaluate Safety, Tolerability, And Pharmacokinetics After a Single Dose of XXX in Healthy Chinese and Japanese Participants	Phase I	Healthy Adults	1.000
2023 VIATRIS: A Randomized, Double-Blind, 3-arm Parallel Phase 1 Study to Assess Pharmacokinetics, Safety and Tolerability of XXXX Following a Single Dose of 420 mg Intravenous Infusion Compared to the EU and US Marketed Drug Product (Perjeta®) in Healthy Male Volunteers	2023 VIATRIS: A Randomized, Double-Blind, 3-arm Parallel Phase 1 Study to Assess Pharmacokinetics, Safety and Tolerability of XXXX Following a Single Dose of 420 mg Intravenous Infusion Compared to the EU and US Marketed Drug Product (Perjeta®) in Healthy Male Volunteers	Phase I	Healthy Adults	1.000
